,virus name,species,genus,family,Host plasticity No of species,Host plasticity No of species Impact,Host plasticity No of orders,Host plasticity No of orders Impact,Geography of the host,Geography of the host Impact,Number of primary high risk disease transmission interfaces where the virus has been detected,Number of primary high risk disease transmission interfaces where the virus has been detected Impact,Frequency of interaction between domestic animals and humans in the host ecosystem,Frequency of interaction between domestic animals and humans in the host ecosystem Impact,Intimacy of interaction between domestic animals and humans in the host ecosystem,Intimacy of interaction between domestic animals and humans in the host ecosystem Impact,Frequency of interaction between wild animals and humans in the host ecosystem,Frequency of interaction between wild animals and humans in the host ecosystem Impact,Intimacy of interaction between wild animals and humans in the host ecosystem,Intimacy of interaction between wild animals and humans in the host ecosystem Impact,Genetic relatedness between the host species and humans,Genetic relatedness between the host species and humans Impact,Land use in host ecosystem,Land use in host ecosystem Impact,Livestock density in host ecosystem,Livestock density in host ecosystem Impact,Human population density in host ecosystem,Human population density in host ecosystem Impact,Deforestation in host ecosystem,Deforestation in host ecosystem Impact,Urbanization in host ecosystem,Urbanization in host ecosystem Impact,Agricultural system change in host ecosystem,Agricultural system change in host ecosystem Impact,Genome classification of the virus,Genome classification of the virus Impact,Envelope status of the virus,Envelope status of the virus Impact,Viral genome segmentation,Viral genome segmentation Impact,Virus species infectivity in humans,Virus species infectivity in humans Impact,Virus species infectivity in terrestrial mammals excluding humans,Virus species infectivity in terrestrial mammals excluding humans Impact,Proportion of virus species known to infect humans in the viral family,Proportion of virus species known to infect humans in the viral family Impact,Proportion of virus species known to infect terrestrial mammals excluding humans in the viral family,Proportion of virus species known to infect terrestrial mammals excluding humans in the viral family Impact,Proportion of viruses within a viral family that are known to infect more than 1 host species,Proportion of viruses within a viral family that are known to infect more than 1 host species Impact,Epidemicity of the virus species,Epidemicity of the virus species Impact,Geography of the virus in animals,Geography of the virus in animals Impact,Pandemic virus,Pandemic virus Impact,Proportion of known human pathogens in the viral family,Proportion of known human pathogens in the viral family Impact,Transmission mode of the virus,Transmission mode of the virus Impact,Animal to human transmission,Animal to human transmission Impact,Human to human transmission,Human to human transmission Impact,Duration of virus species infection in humans,Duration of virus species infection in humans Impact,Risk Score
521,MAMASTROVIRUS PREDICT MASTV-191,Mamastrovirus PREDICT MAstV-191,Mamastrovirus,Astroviridae,LOW,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,LOW,MEDIUM,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,HIGH,MEDIUM,LOW-MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,53
522,BAT ASTROVIRUS TM/GUANGXI/LD46/2007,Bat astrovirus Tm/Guangxi/LD46/2007,Mamastrovirus,Astroviridae,MEDIUM,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,LOW,MEDIUM,MEDIUM,HIGH,LOW,MEDIUM,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,HIGH,MEDIUM,LOW-MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,53
523,BAT ASTROVIRUS TM/GUANGXI/LD89/2007,Bat astrovirus Tm/Guangxi/LD89/2007,Mamastrovirus,Astroviridae,MEDIUM,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,LOW,MEDIUM,MEDIUM,HIGH,LOW,MEDIUM,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,HIGH,MEDIUM,LOW-MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,53
524,PARAMYXOVIRUS PREDICT PMV-80,Paramyxovirus PREDICT PMV-80,Unassigned,Paramyxoviridae,LOW,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,LOW,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,LOW-MEDIUM,HIGH,LOW,MEDIUM,LOW,MEDIUM,LOW,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,52
525,MAMASTROVIRUS PREDICT MASTV-118,Mamastrovirus PREDICT MAstV-118,Mamastrovirus,Astroviridae,LOW,HIGH,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,HIGH,LOW-MEDIUM,MEDIUM,LOW,MEDIUM,HIGH,HIGH,LOW,MEDIUM,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,HIGH,MEDIUM,LOW-MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,52
526,MAMASTROVIRUS PREDICT MASTV-137,Mamastrovirus PREDICT MAstV-137,Mamastrovirus,Astroviridae,LOW,HIGH,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,HIGH,LOW-MEDIUM,MEDIUM,LOW,MEDIUM,HIGH,HIGH,LOW,MEDIUM,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,HIGH,MEDIUM,LOW-MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,52
527,MAMASTROVIRUS PREDICT MASTV-67,Mamastrovirus PREDICT MAstV-67,Mamastrovirus,Astroviridae,MEDIUM,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,LOW,MEDIUM,MEDIUM,HIGH,LOW,MEDIUM,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,HIGH,MEDIUM,LOW-MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,53
528,CORONAVIRUS PREDICT COV-2,Coronavirus PREDICT CoV-2,Alphacoronavirus,Coronaviridae,LOW,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,LOW,MEDIUM,MEDIUM-HIGH,HIGH,LOW,MEDIUM,HIGH,MEDIUM,LOW,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,53
529,CORONAVIRUS PREDICT COV-45,Coronavirus PREDICT CoV-45,Gammacoronavirus,Coronaviridae,LOW,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,LOW,MEDIUM,HIGH,HIGH,LOW,MEDIUM,HIGH,MEDIUM,LOW,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,53
530,ADENOVIRUS PREDICT_ADV-72,Adenovirus PREDICT_AdV-72,Unassigned,Adenoviridae,LOW,HIGH,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,HIGH,LOW,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,LOW,MEDIUM,LOW,MEDIUM,HIGH,MEDIUM,MEDIUM,MEDIUM,HIGH,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,LOW-MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,52
531,PARAMYXOVIRUS PREDICT PMV-14,Paramyxovirus PREDICT PMV-14,Unassigned,Paramyxoviridae,LOW,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,LOW,MEDIUM,MEDIUM,HIGH,LOW,MEDIUM,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,53
532,PARAMYXOVIRUS PREDICT PMV-17,Paramyxovirus PREDICT PMV-17,Unassigned,Paramyxoviridae,LOW,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,LOW,MEDIUM,MEDIUM,HIGH,LOW,MEDIUM,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,53
533,PARAMYXOVIRUS PREDICT PMV-27,Paramyxovirus PREDICT PMV-27,Unassigned,Paramyxoviridae,LOW,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,LOW,MEDIUM,MEDIUM,HIGH,LOW,MEDIUM,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,53
534,CORONAVIRUS PREDICT COV-81,Coronavirus PREDICT CoV-81,Betacoronavirus,Coronaviridae,LOW-MEDIUM,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,LOW,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,LOW-MEDIUM,HIGH,LOW,MEDIUM,LOW,MEDIUM,LOW,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,53
535,ADENOVIRUS PREDICT_ADV-91,Adenovirus PREDICT_AdV-91,Unassigned,Adenoviridae,LOW,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,HIGH,MEDIUM-HIGH,MEDIUM,LOW,MEDIUM,MEDIUM,HIGH,LOW,MEDIUM,LOW,MEDIUM,HIGH,MEDIUM,MEDIUM,MEDIUM,HIGH,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,LOW-MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,52
536,MAMASTROVIRUS PREDICT MASTV-196,Mamastrovirus PREDICT MAstV-196,Mamastrovirus,Astroviridae,LOW,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,LOW,MEDIUM,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,HIGH,MEDIUM,LOW-MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,53
537,SIMIAN FOAMY VIRUS HPI,Simian foamy virus,Spumavirus,Retroviridae,LOW,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,HIGH,HIGH,MEDIUM,LOW,MEDIUM,MEDIUM,HIGH,LOW,MEDIUM,LOW,MEDIUM,LOW,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,HIGH,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,LOW-MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,HIGH,MEDIUM,54
538,ADENOVIRUS PREDICT_ADV-27,Adenovirus PREDICT_AdV-27,Unassigned,Adenoviridae,LOW,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,LOW,MEDIUM,MEDIUM,HIGH,LOW,MEDIUM,LOW,MEDIUM,HIGH,MEDIUM,MEDIUM,MEDIUM,HIGH,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,LOW-MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,52
539,PIPISTRELLUS BAT CORONAVIRUS HKU5,Pipistrellus bat coronavirus HKU5,Betacoronavirus,Coronaviridae,LOW-MEDIUM,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,LOW,MEDIUM,LOW,MEDIUM,LOW,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,LOW-MEDIUM,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,52
540,ADENOVIRUS PREDICT_ADV-10,Adenovirus PREDICT_AdV-10,Unassigned,Adenoviridae,LOW,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,LOW,MEDIUM,LOW,MEDIUM,LOW,MEDIUM,MEDIUM,MEDIUM,HIGH,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,LOW-MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,52
541,ADENOVIRUS PREDICT_ADV-6,Adenovirus PREDICT_AdV-6,Unassigned,Adenoviridae,LOW,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,LOW,MEDIUM,LOW,MEDIUM,LOW,MEDIUM,MEDIUM,MEDIUM,HIGH,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,LOW-MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,52
542,PICOBIRNAVIRUS PREDICT PBV-1,Picobirnavirus PREDICT PbV-1,Picobirnavirus,Picobirnaviridae,LOW,HIGH,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,HIGH,MEDIUM-HIGH,MEDIUM,LOW,MEDIUM,MEDIUM-HIGH,HIGH,LOW,MEDIUM,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM-HIGH,HIGH,LOW,MEDIUM,LOW,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,52
543,PICOBIRNAVIRUS PREDICT PBV-102,Picobirnavirus PREDICT PbV-102,Picobirnavirus,Picobirnaviridae,LOW,HIGH,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,HIGH,MEDIUM-HIGH,MEDIUM,LOW,MEDIUM,MEDIUM-HIGH,HIGH,LOW,MEDIUM,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM-HIGH,HIGH,LOW,MEDIUM,LOW,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,52
544,PICOBIRNAVIRUS PREDICT PBV-105,Picobirnavirus PREDICT PbV-105,Picobirnavirus,Picobirnaviridae,LOW,HIGH,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,HIGH,MEDIUM-HIGH,MEDIUM,LOW,MEDIUM,MEDIUM-HIGH,HIGH,LOW,MEDIUM,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM-HIGH,HIGH,LOW,MEDIUM,LOW,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,52
545,PICOBIRNAVIRUS PREDICT PBV-108,Picobirnavirus PREDICT PbV-108,Picobirnavirus,Picobirnaviridae,LOW,HIGH,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,HIGH,MEDIUM-HIGH,MEDIUM,LOW,MEDIUM,MEDIUM-HIGH,HIGH,LOW,MEDIUM,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM-HIGH,HIGH,LOW,MEDIUM,LOW,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,52
546,PICOBIRNAVIRUS PREDICT PBV-111,Picobirnavirus PREDICT PbV-111,Picobirnavirus,Picobirnaviridae,LOW,HIGH,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,HIGH,MEDIUM-HIGH,MEDIUM,LOW,MEDIUM,MEDIUM-HIGH,HIGH,LOW,MEDIUM,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM-HIGH,HIGH,LOW,MEDIUM,LOW,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,52
547,PICOBIRNAVIRUS PREDICT PBV-114,Picobirnavirus PREDICT PbV-114,Picobirnavirus,Picobirnaviridae,LOW,HIGH,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,HIGH,MEDIUM-HIGH,MEDIUM,LOW,MEDIUM,MEDIUM-HIGH,HIGH,LOW,MEDIUM,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM-HIGH,HIGH,LOW,MEDIUM,LOW,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,52
548,PICOBIRNAVIRUS PREDICT PBV-119,Picobirnavirus PREDICT PbV-119,Picobirnavirus,Picobirnaviridae,LOW,HIGH,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,HIGH,MEDIUM-HIGH,MEDIUM,LOW,MEDIUM,MEDIUM-HIGH,HIGH,LOW,MEDIUM,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM-HIGH,HIGH,LOW,MEDIUM,LOW,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,52
549,PICOBIRNAVIRUS PREDICT PBV-17,Picobirnavirus PREDICT PbV-17,Picobirnavirus,Picobirnaviridae,LOW,HIGH,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,HIGH,MEDIUM-HIGH,MEDIUM,LOW,MEDIUM,MEDIUM-HIGH,HIGH,LOW,MEDIUM,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM-HIGH,HIGH,LOW,MEDIUM,LOW,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,52
550,PICOBIRNAVIRUS PREDICT PBV-19,Picobirnavirus PREDICT PbV-19,Picobirnavirus,Picobirnaviridae,LOW,HIGH,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,HIGH,MEDIUM-HIGH,MEDIUM,LOW,MEDIUM,MEDIUM-HIGH,HIGH,LOW,MEDIUM,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM-HIGH,HIGH,LOW,MEDIUM,LOW,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,52
